text	gloss	category
nó có được ưa chuộng trong thế hệ trẻ không	NÓ GIỚI TRẺ ƯA CHUỘNG ĐƯỢC KHÔNG	Mối quan hệ
tôi sẽ giải thích sau đi thôi	TÔI GIẢI THÍCH SAU ĐI THÔI	Cuộc sống thường nhật
tôi có một danh sách những gì chúng ta cần phải thực hiện	TÔI DANH SÁCH CÓ CHÚNG TA THỰC HIỆN PHẢI	Công việc
anh đang nói quyển sách này giá bao nhiêu	ANH NÓI QUYỂN SÁCH NÀY GIÁ BAO NHIÊU	Cuộc sống học đường
đôi mắt em bé long lanh như hai giọt sương buổi sớm	EM BÉ ĐÔI MẮT LONG LANH ĐẸP GIỌT SƯƠNG GIỌT NƯỚC BUỔI SỚM GIỐNG	Thái độ và Cảm xúc
bộ đồ này trông đẹp tôi có thể mặc thử không	BỘ NÀY ĐẸP TÔI THỬ CÓ THỂ KHÔNG	Cuộc sống thường nhật
thức uống này có giảm giá cuối tuần này không	NƯỚC ÉP GIẢM GIÁ CUỐI TUẦN NÀY CÓ KHÔNG	Cuộc sống thường nhật
chúng ta có thể thử cho nó vào trong bát	CHÚNG TA THỬ BÁT NÓ CHO VÀO CÓ THỂ	Cuộc sống thường nhật
tấm bản đồ việt nam có hình dạng chữ s đặc trưng	TẤM BẢN ĐỒ VIỆT NAM HÌNH DẠNG CHỮ S ĐẶC TRƯNG ĐẶC ĐIỂM CÓ	Văn hóa và Giáo dục
tôi xin lỗi tôi không thể để bạn đi qua	TÔI XIN LỖI BẠN ĐI QUA KHÔNG THỂ	Du lịch
tôi là một du khách đến từ việt nam	TÔI DU KHÁCH VIỆT NAM ĐẾN	Cuộc sống thường nhật
tôi sẽ bắt chuyến tàu lúc 11 giờ	TÔI TÀU LÊN GIỜ 11	Mối quan hệ
bạn sẽ rất đẹp vào ngày cưới của bạn	NGÀY CƯỚI BẠN RẤT ĐẸP	Mối quan hệ
chúng tôi đang đạt được kết quả của một ngày	CHÚNG TÔI KẾT QUẢ ĐẠT ĐƯỢC CỦA MỘT NGÀY	Du lịch
những cánh đồng lúa chín vàng trải dài đến tận chân trời	NHỮNG CÁNH ĐỒNG LÚA CHÍN VÀNG TRẢI DÀI ĐẾN CHÂN TRỜI	Du lịch
em luôn giữ cho góc học tập của mình thật gọn gàng	EM GÓC HỌC TẬP GỌN GÀNG GIỮ	Cuộc sống học đường
chúng ta có 6 người	CHÚNG TA 6 NGƯỜI CÓ	Cuộc sống thường nhật
chúng có cùng hình dạng	CHÚNG HÌNH GIỐNG NHAU	Cuộc sống thường nhật
anh ta đáp lại câu hỏi của tôi một cách lạnh lùng	ANH TA TÔI TRẢ LỜI CÂU HỎI LẠNH LÙNG	Thái độ và Cảm xúc
bạn nghĩ gì về công việc hiện tại của mình	CÔNG VIỆC HIỆN TẠI CỦA BẠN BẠN NGHĨ GÌ	Công việc
mặt trời vẫn còn chiếu sáng	MẶT TRỜI SÁNG VẪN	Cuộc sống thường nhật
nhưng cơ hội này thực sự quý giá	NHƯNG CƠ HỘI NÀY QUÝ GIÁ THỰC SỰ	Thái độ và Cảm xúc
anh ấy thường mặc quần đùi và áo phông khi ở nhà	ANH ẤY QUẦN ĐÙI ÁO PHÔNG Ở NHÀ MẶC THƯỜNG	Cuộc sống thường nhật
anh nhận được khoản thù lao xứng đáng sau khi hoàn thành công việc	ANH SAU KHI LÀM XONG THÙ LAO XỨNG ĐÁNG NHẬN ĐƯỢC	Công việc
sau đó mua một chai nước ngọt	SAU ĐÓ CHAI NƯỚC NGỌT MỘT MUA	Mối quan hệ
ok làm thế nào về chúng ta có được một con mèo hoặc một chồn sương	ĐƯỢC MÈO HOẶC CHỒN SƯƠNG NUÔI NHÉ	Cuộc sống thường nhật
hôm nay là một ngày trọng đại vì rất nhiều trẻ em sẽ đến trường lần đầu tiên	HÔM NAY QUAN TRỌNG VÌ TRẺ EM NHIỀU ĐI HỌC NGÀY ĐẦU TIÊN	Cuộc sống học đường
tôi nghĩ thịt cừu là ngon nhất	TÔI NGHĨ THỊT CỪU NGON NHẤT	Mối quan hệ
trông có vẻ đã sẵn sàng để ăn	TRÔNG ĂN SẴN SÀNG RỒI	Cuộc sống thường nhật
cà rốt	CÀ RỐT	Cuộc sống thường nhật
